suspid	srcid	plagtype	GED	Cos	SD	w1	w2	w3	w1j	w2j	w3j	t1	t2	t3	subseq	pairdist	ordering
suspicious-document00008.txt-22	source-document00305.txt-49	summary-obfuscation	0.886290	0.917862	0.200261	0.055556	0.000000	0.000000	0.037037	0.000000	0.000000	0.478873	0.323944	0.136150	0.368098	0.000000	0.000000
suspicious-document00008.txt-23	source-document00305.txt-50	summary-obfuscation	0.712500	0.838310	0.210121	0.142857	0.000000	0.000000	0.095238	0.000000	0.000000	0.450704	0.281690	0.140845	0.378378	0.000000	0.000000
suspicious-document00008.txt-24	source-document00305.txt-51	summary-obfuscation	0.511607	0.852913	0.141770	0.153846	0.000000	0.000000	0.093023	0.000000	0.000000	0.505618	0.342697	0.174157	0.407143	0.971404	0.707107
suspicious-document00008.txt-25	source-document00305.txt-52	summary-obfuscation	0.963333	0.932580	0.219594	0.052632	0.000000	0.000000	0.035714	0.000000	0.000000	0.283186	0.132743	0.026549	0.293333	0.000000	0.000000
suspicious-document00069.txt-27	source-document00075.txt-21	summary-obfuscation	0.648148	0.735180	0.482144	0.200000	0.000000	0.000000	0.136364	0.000000	0.000000	0.583333	0.416667	0.194444	0.367347	0.169174	0.196429
suspicious-document00069.txt-28	source-document00075.txt-22	summary-obfuscation	0.700000	0.816058	0.321465	0.125000	0.000000	0.000000	0.071429	0.000000	0.000000	0.446429	0.276786	0.080357	0.364706	0.000000	0.000000
suspicious-document00069.txt-29	source-document00075.txt-23	summary-obfuscation	0.742857	0.758253	0.309561	0.250000	0.058824	0.000000	0.117647	0.025641	0.000000	0.882353	0.635294	0.352941	0.477064	0.985200	1.000000
suspicious-document00069.txt-30	source-document00075.txt-24	summary-obfuscation	0.720588	0.670017	0.441479	0.189189	0.000000	0.000000	0.137255	0.000000	0.000000	0.464286	0.334821	0.227679	0.351515	0.083554	-0.067420
suspicious-document00170.txt-50	source-document00899.txt-22	summary-obfuscation	0.769167	0.645132	0.311336	0.153846	0.022727	0.000000	0.127660	0.017241	0.000000	0.295833	0.258333	0.183333	0.329114	0.393953	0.342475
suspicious-document00170.txt-51	source-document00899.txt-23	summary-obfuscation	0.651613	0.617267	0.310870	0.187500	0.000000	0.000000	0.127660	0.000000	0.000000	0.453441	0.336032	0.206478	0.394444	0.901960	0.755929
suspicious-document00170.txt-52	source-document00899.txt-24	summary-obfuscation	0.821739	0.662900	0.193276	0.214286	0.000000	0.000000	0.081081	0.000000	0.000000	0.906667	0.720000	0.346667	0.352000	0.975447	1.000000
suspicious-document00170.txt-53	source-document00899.txt-25	summary-obfuscation	0.739063	0.879614	0.274219	0.100000	0.000000	0.000000	0.066667	0.000000	0.000000	0.572727	0.281818	0.154545	0.395480	0.000000	0.000000
suspicious-document00197.txt-78	source-document02183.txt-15	summary-obfuscation	0.844000	0.791107	0.070610	0.107143	0.000000	0.000000	0.083333	0.000000	0.000000	0.252577	0.175258	0.123711	0.266129	-0.334342	NaN
suspicious-document00197.txt-79	source-document02183.txt-16	summary-obfuscation	0.534722	0.581282	0.083242	0.277778	0.055556	0.000000	0.172414	0.029412	0.000000	0.752137	0.547009	0.341880	0.434389	0.806703	0.408248
suspicious-document00197.txt-80	source-document02183.txt-17	summary-obfuscation	0.748485	0.577423	0.335844	0.350000	0.000000	0.000000	0.145833	0.000000	0.000000	0.975207	0.719008	0.438017	0.390935	0.723087	0.391965
suspicious-document00197.txt-81	source-document02183.txt-18	summary-obfuscation	0.673611	0.734316	0.133695	0.214286	0.000000	0.000000	0.100000	0.000000	0.000000	0.932432	0.635135	0.256757	0.402235	0.957186	1.000000
suspicious-document00197.txt-82	source-document02183.txt-19	summary-obfuscation	0.806667	0.938102	0.121212	0.055556	0.000000	0.000000	0.038462	0.000000	0.000000	0.336283	0.176991	0.053097	0.291139	0.000000	0.000000
suspicious-document00220.txt-17	source-document00211.txt-1	summary-obfuscation	0.660714	0.811018	0.330817	0.333333	0.000000	0.000000	0.173913	0.000000	0.000000	0.868852	0.590164	0.327869	0.402685	0.833509	NaN
suspicious-document00220.txt-18	source-document00211.txt-2	summary-obfuscation	0.611667	0.718058	0.352918	0.200000	0.000000	0.000000	0.098039	0.000000	0.000000	0.920863	0.561151	0.302158	0.430303	0.786562	0.801784
suspicious-document00220.txt-19	source-document00211.txt-3	summary-obfuscation	0.492708	0.746454	0.313238	0.500000	0.076923	0.000000	0.184211	0.022222	0.000000	0.956522	0.695652	0.463768	0.363636	0.038922	0.330289
suspicious-document00220.txt-20	source-document00211.txt-4	summary-obfuscation	0.576190	0.777723	0.356175	0.227273	0.000000	0.000000	0.135135	0.000000	0.000000	0.787037	0.500000	0.296296	0.438596	0.156860	0.218218
suspicious-document00220.txt-21	source-document00211.txt-5	summary-obfuscation	0.596154	0.766450	0.304836	0.272727	0.000000	0.000000	0.130435	0.000000	0.000000	0.870370	0.500000	0.314815	0.411765	0.979864	1.000000
suspicious-document00220.txt-22	source-document00211.txt-6	summary-obfuscation	0.764286	0.850929	0.204426	0.200000	0.000000	0.000000	0.076923	0.000000	0.000000	0.924528	0.528302	0.377358	0.408163	0.000000	0.000000
suspicious-document00220.txt-23	source-document00211.txt-7	summary-obfuscation	0.603750	0.711325	0.455647	0.266667	0.000000	0.000000	0.121212	0.000000	0.000000	0.875000	0.579545	0.352273	0.379310	0.582071	0.333333
suspicious-document00237.txt-7	source-document00688.txt-1	summary-obfuscation	0.495588	0.604544	0.163406	0.323529	0.051282	0.026316	0.220000	0.030769	0.015625	0.648780	0.468293	0.380488	0.458101	0.662780	0.577050
suspicious-document00237.txt-8	source-document00688.txt-2	summary-obfuscation	0.725000	0.726696	0.090386	0.307692	0.076923	0.000000	0.111111	0.024390	0.000000	0.925926	0.617284	0.370370	0.370370	0.754668	0.707107
suspicious-document00237.txt-9	source-document00688.txt-3	summary-obfuscation	0.750000	0.894591	0.063741	0.166667	0.000000	0.000000	0.062500	0.000000	0.000000	0.890625	0.625000	0.187500	0.360656	0.000000	0.000000
suspicious-document00237.txt-10	source-document00688.txt-4	summary-obfuscation	1.187500	0.950493	0.091651	0.040000	0.000000	0.000000	0.031250	0.000000	0.000000	0.188235	0.129412	0.047059	0.253659	0.000000	0.000000
suspicious-document00237.txt-11	source-document00688.txt-5	summary-obfuscation	0.758333	0.923304	0.184410	0.100000	0.000000	0.000000	0.043478	0.000000	0.000000	0.681159	0.289855	0.000000	0.385185	0.000000	0.000000
suspicious-document00303.txt-7	source-document01298.txt-1	summary-obfuscation	0.507692	0.348941	0.691945	0.705882	0.473684	0.333333	0.333333	0.214286	0.139535	1.000000	0.917355	0.818182	0.670732	0.868307	0.785884
suspicious-document00303.txt-8	source-document01298.txt-2	summary-obfuscation	0.734821	0.674700	0.584746	0.600000	0.142857	0.000000	0.230769	0.038462	0.000000	0.989011	0.912088	0.802198	0.453988	0.669090	0.718132
suspicious-document00303.txt-9	source-document01298.txt-3	summary-obfuscation	0.832292	0.827708	0.338649	0.363636	0.000000	0.000000	0.102564	0.000000	0.000000	0.929825	0.824561	0.649123	0.336134	0.537564	NaN
suspicious-document00303.txt-10	source-document01298.txt-4	summary-obfuscation	0.945000	0.925464	0.424263	0.166667	0.000000	0.000000	0.046512	0.000000	0.000000	0.870370	0.629630	0.333333	0.248175	0.000000	0.000000
suspicious-document00303.txt-11	source-document01298.txt-5	summary-obfuscation	0.689286	0.826506	0.307386	0.200000	0.000000	0.000000	0.088889	0.000000	0.000000	0.883929	0.616071	0.348214	0.394737	0.667339	0.316228
suspicious-document00303.txt-12	source-document01298.txt-6	summary-obfuscation	0.812500	0.559775	0.304576	0.444444	0.111111	0.000000	0.129032	0.026316	0.000000	1.000000	0.625000	0.416667	0.310680	0.350653	-0.316228
suspicious-document00303.txt-13	source-document01298.txt-7	summary-obfuscation	0.576316	0.852558	0.261347	0.150000	0.000000	0.000000	0.085714	0.000000	0.000000	0.536000	0.336000	0.128000	0.398058	0.999815	1.000000
suspicious-document00362.txt-76	source-document01227.txt-1	summary-obfuscation	0.616912	0.766010	0.237157	0.320000	0.000000	0.000000	0.156863	0.000000	0.000000	0.887417	0.668874	0.536424	0.404313	0.491702	0.435897
suspicious-document00362.txt-77	source-document01227.txt-2	summary-obfuscation	1.119048	0.825922	0.224927	0.333333	0.000000	0.000000	0.076923	0.000000	0.000000	0.921569	0.803922	0.568627	0.283465	0.999739	1.000000
suspicious-document00362.txt-78	source-document01227.txt-3	summary-obfuscation	0.586207	0.742436	0.228814	0.160000	0.000000	0.000000	0.083333	0.000000	0.000000	0.841060	0.549669	0.298013	0.404984	0.848419	0.447214
suspicious-document00362.txt-79	source-document01227.txt-4	summary-obfuscation	0.827174	0.821826	0.490397	0.285714	0.000000	0.000000	0.100000	0.000000	0.000000	0.913043	0.681159	0.391304	0.355731	0.989413	1.000000
suspicious-document00362.txt-80	source-document01227.txt-5	summary-obfuscation	0.718750	0.940765	0.152764	0.133333	0.000000	0.000000	0.068966	0.000000	0.000000	0.717647	0.341176	0.152941	0.376471	0.000000	0.000000
suspicious-document00362.txt-81	source-document01227.txt-6	summary-obfuscation	0.608333	0.836701	0.436559	0.200000	0.000000	0.000000	0.093023	0.000000	0.000000	0.859813	0.560748	0.299065	0.383459	0.843172	0.707107
suspicious-document00472.txt-17	source-document00177.txt-1	summary-obfuscation	0.535714	0.442237	0.399746	0.419355	0.228571	0.200000	0.276596	0.137931	0.118644	0.820755	0.641509	0.547170	0.500000	0.150931	0.370632
suspicious-document00472.txt-18	source-document00177.txt-2	summary-obfuscation	0.722727	0.564714	0.631408	0.400000	0.133333	0.071429	0.125000	0.031746	0.016129	0.987952	0.746988	0.554217	0.327485	0.906649	1.000000
suspicious-document00472.txt-19	source-document00177.txt-3	summary-obfuscation	0.544737	0.680495	0.731061	0.260870	0.080000	0.041667	0.206897	0.057143	0.029412	0.472000	0.272000	0.192000	0.414894	0.677011	0.288675
suspicious-document00472.txt-20	source-document00177.txt-4	summary-obfuscation	0.695652	0.745075	0.448311	0.222222	0.000000	0.000000	0.100000	0.000000	0.000000	0.950000	0.587500	0.312500	0.358333	0.629420	0.500000
suspicious-document00472.txt-21	source-document00177.txt-5	summary-obfuscation	0.627586	0.874608	0.202338	0.190476	0.000000	0.000000	0.086957	0.000000	0.000000	0.893443	0.598361	0.270492	0.374150	0.976606	0.707107
suspicious-document00508.txt-28	source-document00327.txt-1	summary-obfuscation	0.422059	0.486217	0.525018	0.366667	0.085714	0.029412	0.234043	0.046875	0.015625	0.786802	0.568528	0.436548	0.508108	0.594073	0.369347
suspicious-document00508.txt-29	source-document00327.txt-2	summary-obfuscation	0.680303	0.775101	0.448088	0.222222	0.000000	0.000000	0.083333	0.000000	0.000000	0.953704	0.666667	0.407407	0.391691	0.373842	0.333333
suspicious-document00508.txt-30	source-document00327.txt-3	summary-obfuscation	0.617647	0.751854	0.506530	0.363636	0.000000	0.000000	0.142857	0.000000	0.000000	0.884058	0.623188	0.333333	0.361702	0.953266	0.707107
suspicious-document00508.txt-31	source-document00327.txt-4	summary-obfuscation	0.645455	0.883665	0.326876	0.230769	0.000000	0.000000	0.083333	0.000000	0.000000	0.905405	0.621622	0.378378	0.386792	0.931553	1.000000
suspicious-document00508.txt-32	source-document00327.txt-5	summary-obfuscation	0.761111	0.733783	0.347412	0.160000	0.000000	0.000000	0.105263	0.000000	0.000000	0.340541	0.248649	0.086486	0.325397	0.769167	0.316228
suspicious-document00616.txt-106	source-document02311.txt-9	summary-obfuscation	0.717105	0.956147	0.183441	0.076923	0.000000	0.000000	0.030303	0.000000	0.000000	0.846154	0.423077	0.166667	0.377551	0.000000	0.000000
suspicious-document00616.txt-107	source-document02311.txt-10	summary-obfuscation	0.675000	0.696954	0.163203	0.428571	0.000000	0.000000	0.166667	0.000000	0.000000	0.820513	0.487179	0.282051	0.317757	0.921551	0.500000
suspicious-document00616.txt-108	source-document02311.txt-11	summary-obfuscation	0.505952	0.450830	0.473637	0.314286	0.048780	0.023256	0.203704	0.027027	0.012987	0.643443	0.491803	0.303279	0.446602	0.864081	0.701879
suspicious-document00616.txt-109	source-document02311.txt-12	summary-obfuscation	0.804054	0.638216	0.264026	0.333333	0.058824	0.000000	0.094340	0.014286	0.000000	0.927835	0.690722	0.443299	0.327366	0.315324	-0.218218
suspicious-document00616.txt-110	source-document02311.txt-13	summary-obfuscation	0.529545	0.509010	0.265791	0.260870	0.000000	0.000000	0.133333	0.000000	0.000000	0.917197	0.662420	0.496815	0.412869	0.167509	0.218218
suspicious-document00627.txt-8	source-document01106.txt-1	summary-obfuscation	0.679808	0.827071	0.555841	0.263158	0.052632	0.000000	0.116279	0.020408	0.000000	0.914530	0.632479	0.444444	0.367347	0.983600	1.000000
suspicious-document00627.txt-9	source-document01106.txt-2	summary-obfuscation	0.656897	0.751318	0.434213	0.250000	0.000000	0.000000	0.139535	0.000000	0.000000	0.771605	0.475309	0.265432	0.428115	0.420660	0.272166
suspicious-document00627.txt-10	source-document01106.txt-3	summary-obfuscation	1.011250	0.893400	0.332313	0.250000	0.000000	0.000000	0.060606	0.000000	0.000000	1.000000	0.675000	0.275000	0.252336	0.000000	0.000000
suspicious-document00627.txt-11	source-document01106.txt-4	summary-obfuscation	0.810000	0.886933	0.271958	0.136364	0.000000	0.000000	0.066667	0.000000	0.000000	0.915888	0.588785	0.271028	0.355987	0.997822	1.000000
suspicious-document00627.txt-12	source-document01106.txt-5	summary-obfuscation	0.888889	0.901942	0.279859	0.100000	0.000000	0.000000	0.058824	0.000000	0.000000	0.507692	0.307692	0.092308	0.342857	0.000000	0.000000
suspicious-document00627.txt-13	source-document01106.txt-6	summary-obfuscation	1.054545	0.892010	0.259648	0.285714	0.000000	0.000000	0.055556	0.000000	0.000000	0.906977	0.651163	0.325581	0.262712	0.000000	0.000000
suspicious-document00627.txt-14	source-document01106.txt-7	summary-obfuscation	0.861957	0.829749	0.364652	0.250000	0.000000	0.000000	0.078947	0.000000	0.000000	0.911765	0.705882	0.352941	0.327869	0.998998	1.000000
suspicious-document00627.txt-15	source-document01106.txt-8	summary-obfuscation	1.114286	0.922848	0.109462	0.125000	0.000000	0.000000	0.035714	0.000000	0.000000	0.942857	0.542857	0.085714	0.289474	0.000000	0.000000
suspicious-document00675.txt-24	source-document02739.txt-1	summary-obfuscation	0.307692	0.285258	0.929663	0.708333	0.500000	0.347826	0.515152	0.315789	0.200000	0.935484	0.862903	0.782258	0.666667	0.989861	1.000000
suspicious-document00675.txt-25	source-document02739.txt-2	summary-obfuscation	0.727273	0.958188	0.404923	0.050000	0.000000	0.000000	0.024390	0.000000	0.000000	0.872727	0.518182	0.209091	0.403361	0.000000	0.000000
suspicious-document00675.txt-26	source-document02739.txt-3	summary-obfuscation	0.412500	0.828501	0.148808	0.176471	0.000000	0.000000	0.103448	0.000000	0.000000	0.733333	0.366667	0.144444	0.383721	0.996099	1.000000
suspicious-document00675.txt-27	source-document02739.txt-4	summary-obfuscation	0.850000	0.725279	0.234298	0.307692	0.000000	0.000000	0.102564	0.000000	0.000000	0.948718	0.602564	0.397436	0.340909	0.518716	0.250000
suspicious-document00675.txt-28	source-document02739.txt-5	summary-obfuscation	1.078333	0.783494	0.034110	0.333333	0.000000	0.000000	0.080000	0.000000	0.000000	1.000000	0.750000	0.312500	0.298137	0.000000	0.000000
suspicious-document00675.txt-29	source-document02739.txt-6	summary-obfuscation	0.325000	0.407780	0.651478	0.666667	0.428571	0.230769	0.400000	0.214286	0.103448	0.903614	0.698795	0.650602	0.600000	0.903534	1.000000
suspicious-document00675.txt-30	source-document02739.txt-7	summary-obfuscation	0.750000	0.729969	0.298723	0.357143	0.076923	0.000000	0.138889	0.023256	0.000000	0.962025	0.620253	0.392405	0.383673	0.865404	0.816497
suspicious-document00702.txt-48	source-document00733.txt-1	summary-obfuscation	0.589286	0.424604	0.428314	0.423077	0.214286	0.148148	0.275000	0.122449	0.081633	0.822785	0.715190	0.563291	0.458472	0.234916	0.267615
suspicious-document00702.txt-49	source-document00733.txt-2	summary-obfuscation	0.569444	0.303127	0.711246	0.478261	0.375000	0.347826	0.458333	0.346154	0.320000	0.462585	0.442177	0.442177	0.613953	0.868353	1.000000
suspicious-document00702.txt-50	source-document00733.txt-3	summary-obfuscation	0.665000	0.724759	0.260659	0.187500	0.000000	0.000000	0.120000	0.000000	0.000000	0.444444	0.292929	0.171717	0.428571	0.998854	1.000000
suspicious-document00702.txt-51	source-document00733.txt-4	summary-obfuscation	0.629545	0.780618	0.340532	0.173913	0.000000	0.000000	0.114286	0.000000	0.000000	0.596026	0.364238	0.231788	0.368000	0.981563	1.000000
suspicious-document00702.txt-52	source-document00733.txt-5	summary-obfuscation	0.721667	0.803884	NaN	0.166667	0.000000	0.000000	0.107143	0.000000	0.000000	0.692308	0.450549	0.252747	0.339181	0.661143	NaN
suspicious-document00723.txt-22	source-document01712.txt-48	summary-obfuscation	0.945192	0.873677	0.362914	0.250000	0.000000	0.000000	0.063830	0.000000	0.000000	0.936709	0.784810	0.481013	0.336449	0.852974	0.500000
suspicious-document00723.txt-23	source-document01712.txt-49	summary-obfuscation	0.546154	0.615535	0.129609	0.173913	0.000000	0.000000	0.097561	0.000000	0.000000	0.869863	0.554795	0.308219	0.426667	0.699755	0.447214
suspicious-document00723.txt-24	source-document01712.txt-50	summary-obfuscation	0.861111	0.888197	0.133267	0.100000	0.000000	0.000000	0.058824	0.000000	0.000000	0.430769	0.184615	0.000000	0.316832	0.000000	0.000000
suspicious-document00723.txt-25	source-document01712.txt-51	summary-obfuscation	0.729167	0.919936	0.450044	0.153846	0.000000	0.000000	0.047619	0.000000	0.000000	0.959459	0.662162	0.418919	0.311419	0.000000	0.000000
